name;value
GARE DU NORD;49977513
GARE DU NORD-RER;46757083
SAINT-LAZARE;44939493
GARE DE LYON-RER;35326982
GARE DE LYON;34895701
MONTPARNASSE-BIENVENUE;31919734
LA DEFENSE-RER;30237090
NANTERRE-PREFECTURE;23111276
GARE DE L'EST;19989528
CHATELET-LES HALLES-RER;18419580
REPUBLIQUE;16953175
BIBLIOTHEQUE;15472531
LES HALLES;15347160
LA DEFENSE;14275382
CHATELET;13929657
BASTILLE;13706765
OPERA;12269711
HOTEL DE VILLE;11953352
FRANKLIN D. ROOSEVELT;11890240
VAL DE FONTENAY;11863754
