name;value
GARE DU NORD;51316194
GARE DU NORD-RER;48205117
SAINT-LAZARE;44936936
GARE DE LYON-RER;36404818
GARE DE LYON;35162388
MONTPARNASSE-BIENVENUE;31553833
LA DEFENSE-RER;30059436
CHATELET-LES HALLES-RER;26580053
NANTERRE-PREFECTURE;23817046
GARE DE L'EST;20284835
REPUBLIQUE;18224965
LES HALLES;17991605
BIBLIOTHEQUE;15840239
LA DEFENSE;14367265
BASTILLE;13590937
HOTEL DE VILLE;12621901
CHATELET;12502708
OPERA;12288027
VAL DE FONTENAY;12157778
FRANKLIN D. ROOSEVELT;12053554
