name;value
GARE DU NORD;50872319
GARE DU NORD-RER;47738502
SAINT-LAZARE;45879586
GARE DE LYON-RER;37192652
GARE DE LYON;36352115
LA DEFENSE-RER;31115228
MONTPARNASSE-BIENVENUE;30359225
CHATELET-LES HALLES-RER;26356131
NANTERRE-PREFECTURE;22934672
GARE DE L'EST;20373189
REPUBLIQUE;18340798
BIBLIOTHEQUE;17491541
LES HALLES;16128080
LA DEFENSE;15031139
CHATELET;13466536
BASTILLE;13225099
VAL DE FONTENAY;12969924
HOTEL DE VILLE;11764439
PLACE D'ITALIE;11462253
BELLEVILLE;11402348
