name;value
GARE DU NORD;50793797
GARE DU NORD-RER;47759711
SAINT-LAZARE;45309544
GARE DE LYON-RER;36576706
GARE DE LYON;35926081
MONTPARNASSE-BIENVENUE;31229210
LA DEFENSE-RER;28908710
CHATELET-LES HALLES-RER;26017693
NANTERRE-PREFECTURE;21984721
GARE DE L'EST;20377794
REPUBLIQUE;18530849
LES HALLES;17384446
BIBLIOTHEQUE;16433305
LA DEFENSE;15044588
BASTILLE;13438906
CHATELET;13391819
VAL DE FONTENAY;12299505
HOTEL DE VILLE;12201851
OPERA;11717705
PLACE D'ITALIE;11631649
